#RiskFactor1,RiskFactor2,Correlation
"DiscountCurve/USD/7","EquityVolatility/RIC:.SPX/7",-0.328148
"DiscountCurve/USD/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.195741
"DiscountCurve/USD/7","ZeroInflationCurve/EUHICPXT/4",0.549510
"IndexCurve/DKK-DKKOIS/7","IndexCurve/EUR-EONIA/7",0.942625
"IndexCurve/DKK-DKKOIS/7","IndexCurve/EUR-EURIBOR-3M/7",0.936365
"IndexCurve/DKK-DKKOIS/7","IndexCurve/EUR-EURIBOR-6M/7",0.933525
"IndexCurve/DKK-DKKOIS/7","IndexCurve/SEK-STIBOR-3M/7",0.827508
"IndexCurve/DKK-DKKOIS/7","IndexCurve/USD-FedFunds/7",0.692376
"IndexCurve/DKK-DKKOIS/7","IndexCurve/USD-LIBOR-3M/7",0.681455
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.006328
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.069876
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.093623
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.051644
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.048651
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.015445
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/63",0.191324
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/64",0.172826
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/65",0.144944
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/66",0.072046
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/67",0.002584
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.037816
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.056049
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.065506
"IndexCurve/DKK-DKKOIS/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.067922
"IndexCurve/DKK-DKKOIS/7","FXSpot/DKKEUR/0",-0.246356
"IndexCurve/DKK-DKKOIS/7","FXSpot/JPYEUR/0",-0.601422
"IndexCurve/DKK-DKKOIS/7","FXSpot/NOKEUR/0",-0.005402
