#Key,Factor,BaseValue,ShiftSize
OptionletVolatility/EUR/4,OptionletVolatility/EUR/4/1Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/5,OptionletVolatility/EUR/5/2Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/6,OptionletVolatility/EUR/6/2Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/7,OptionletVolatility/EUR/7/2Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/8,OptionletVolatility/EUR/8/2Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/9,OptionletVolatility/EUR/9/2Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/10,OptionletVolatility/EUR/10/3Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/11,OptionletVolatility/EUR/11/3Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/12,OptionletVolatility/EUR/12/3Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/13,OptionletVolatility/EUR/13/3Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/14,OptionletVolatility/EUR/14/3Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/15,OptionletVolatility/EUR/15/5Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/16,OptionletVolatility/EUR/16/5Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/17,OptionletVolatility/EUR/17/5Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/18,OptionletVolatility/EUR/18/5Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/19,OptionletVolatility/EUR/19/5Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/20,OptionletVolatility/EUR/20/7Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/21,OptionletVolatility/EUR/21/7Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/22,OptionletVolatility/EUR/22/7Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/23,OptionletVolatility/EUR/23/7Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/24,OptionletVolatility/EUR/24/7Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/25,OptionletVolatility/EUR/25/10Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/26,OptionletVolatility/EUR/26/10Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/27,OptionletVolatility/EUR/27/10Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/28,OptionletVolatility/EUR/28/10Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/29,OptionletVolatility/EUR/29/10Y/0.05,0.00000000,0.00000000
OptionletVolatility/USD/0,OptionletVolatility/USD/0/1Y/0.01,0.00000000,0.00000000
OptionletVolatility/USD/1,OptionletVolatility/USD/1/1Y/0.02,0.00000000,0.00000000
OptionletVolatility/USD/2,OptionletVolatility/USD/2/1Y/0.03,0.00000000,0.00000000
OptionletVolatility/USD/3,OptionletVolatility/USD/3/1Y/0.04,0.00000000,0.00000000
OptionletVolatility/USD/4,OptionletVolatility/USD/4/1Y/0.05,0.00000000,0.00000000
OptionletVolatility/USD/5,OptionletVolatility/USD/5/2Y/0.01,0.00000000,0.00000000
OptionletVolatility/USD/6,OptionletVolatility/USD/6/2Y/0.02,0.00000000,0.00000000
